證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2543,皇昌,"61,397",34,"553,938",9.00,9.05,9.00,9.01,<p style= color:red>+</p>,0.01,9.01,8,9.04,2,4.10
2545,皇翔,"165,423",170,"6,895,709",41.90,41.90,41.55,41.70,<p style= color:red>+</p>,0.15,41.60,6,41.70,1,4.30
2546,根基,"226,876",335,"12,541,118",54.50,56.00,54.50,55.30,<p style= color:red>+</p>,1.30,55.20,1,55.30,9,8.63
2547,日勝生,"174,113",155,"1,580,915",9.08,9.12,9.05,9.07,<p> </p>,0.00,9.07,6,9.09,17,30.23
2548,華固,"461,805",649,"41,054,130",88.80,89.30,88.50,88.50,<p style= color:green>-</p>,0.50,88.50,17,89.00,3,5.74
2597,潤弘,"30,342",60,"3,781,198",124.50,125.00,124.00,124.50,<p style= color:green>-</p>,0.50,124.50,2,125.00,6,11.09
2601,益航,"1,381,406",660,"11,959,484",8.68,8.72,8.61,8.64,<p style= color:green>-</p>,0.01,8.64,32,8.65,35,66.46
2603,長榮,"14,304,390","7,645","2,178,096,411",152.50,153.50,151.00,152.00,<p> </p>,0.00,152.00,545,152.50,"1,010",0.84
2605,新興,"3,597,710","1,821","73,102,012",20.25,20.60,20.05,20.40,<p style= color:red>+</p>,0.20,20.35,40,20.40,41,53.68
2606,裕民,"6,330,912","4,266","320,193,925",50.30,51.60,49.60,50.90,<p style= color:red>+</p>,0.40,50.80,2,50.90,50,7.63
2607,榮運,"3,408,670","1,541","92,268,254",27.20,27.30,26.90,26.95,<p style= color:red>+</p>,0.05,26.90,344,26.95,66,8.61
2608,嘉里大榮,"238,488",269,"9,294,963",39.10,39.20,38.80,38.95,<p style= color:green>-</p>,0.05,38.95,1,39.00,4,13.52
2609,陽明,"18,533,990","10,500","1,160,545,074",62.70,63.10,62.20,62.40,<p style= color:green>-</p>,0.10,62.40,456,62.50,98,0.98
2610,華航,"71,535,021","18,847","1,411,063,449",19.50,19.90,19.40,19.75,<p style= color:red>+</p>,0.35,19.75,"1,083",19.80,"3,171",10.39
2611,志信,"708,130",410,"9,494,110",13.50,13.50,13.30,13.35,<p style= color:red>+</p>,0.05,13.35,13,13.40,45,0.00
2612,中航,"579,599",454,"22,798,431",39.50,39.80,39.00,39.20,<p> </p>,0.00,39.15,11,39.20,5,9.45
2613,中櫃,"324,610",227,"7,260,362",22.30,22.55,22.15,22.25,<p style= color:green>-</p>,0.05,22.20,20,22.40,10,13.48
2614,東森,"13,326,949","6,365","327,825,295",24.15,25.00,24.05,24.95,<p style= color:red>+</p>,1.00,24.90,154,24.95,54,58.02
2615,萬海,"10,199,331","6,314","780,524,484",75.90,77.00,75.60,76.70,<p style= color:red>+</p>,0.80,76.70,4,76.80,66,1.69
2616,山隆,"598,859",670,"18,363,432",30.25,31.00,30.20,30.95,<p style= color:red>+</p>,0.70,30.95,4,31.00,16,15.02
2617,台航,"1,102,073",661,"29,415,104",26.50,26.85,26.45,26.80,<p style= color:red>+</p>,0.35,26.80,64,26.85,50,5.49
2618,長榮航,"108,729,266","27,003","3,237,483,945",29.15,30.00,29.05,29.95,<p style= color:red>+</p>,0.95,29.90,842,29.95,865,11.84
2630,亞航,"56,516",57,"947,584",16.75,16.90,16.60,16.80,<p style= color:red>+</p>,0.05,16.75,3,16.80,3,105.00
2633,台灣高鐵,"4,915,870","2,081","143,887,383",29.10,29.40,29.05,29.35,<p style= color:red>+</p>,0.15,29.30,2,29.35,504,54.35
2634,漢翔,"8,556,425","4,989","297,112,427",34.70,35.15,34.35,34.55,<p style= color:green>-</p>,0.05,34.55,160,34.60,115,20.81
2636,台驊投控,"676,879",797,"44,552,587",66.00,66.40,65.30,66.00,<p style= color:red>+</p>,0.20,65.80,8,66.00,21,2.66
2637,慧洋-KY,"4,350,997","2,727","266,518,013",61.00,61.80,60.70,61.20,<p style= color:red>+</p>,0.50,61.20,2,61.30,19,3.62
2642,宅配通,"233,134",203,"11,524,388",49.55,49.75,49.30,49.60,<p style= color:red>+</p>,0.05,49.50,6,49.60,5,25.83
2701,萬企,"84,328",42,"1,026,665",12.20,12.20,12.15,12.15,<p style= color:green>-</p>,0.05,12.15,2,12.20,4,25.31
2702,華園,"194,314",159,"4,432,072",22.60,22.95,22.60,22.75,<p style= color:red>+</p>,0.25,22.75,14,22.80,3,1.62
2704,國賓,"108,646",106,"3,542,031",32.60,32.70,32.50,32.55,<p style= color:green>-</p>,0.05,32.55,8,32.60,1,232.50
2705,六福,"350,645",264,"5,996,941",17.15,17.30,17.00,17.05,<p style= color:red>+</p>,0.05,17.00,34,17.05,6,0.00
2706,第一店,"231,313",177,"3,267,759",14.15,14.25,14.05,14.15,<p style= color:green>-</p>,0.05,14.10,41,14.15,16,24.82
2707,晶華,"1,756,846","1,662","453,393,440",253.50,260.00,253.00,258.50,<p style= color:red>+</p>,7.50,258.50,29,259.00,2,36.67
2712,遠雄來,"6,004",6,"199,332",33.20,33.20,33.20,33.20,<p style= color:red>+</p>,0.75,32.70,2,32.95,1,553.33
2722,夏都,"87,001",74,"2,886,431",33.00,33.55,33.00,33.00,<p style= color:red>+</p>,0.05,33.00,3,33.30,2,21.43
2723,美食-KY,"3,525,487","3,689","548,769,910",152.50,159.00,151.50,153.50,<p style= color:red>+</p>,3.00,153.50,75,154.00,53,51.86
2727,王品,"6,306,348","10,103","1,223,631,089",185.00,197.00,184.00,197.00,<p style= color:red>+</p>,17.50,197.00,"5,245",--,0,56.77
2731,雄獅,"1,652,537","1,253","174,195,845",103.00,107.00,103.00,105.50,<p style= color:red>+</p>,3.50,105.50,10,106.00,43,0.00
2739,寒舍,"78,877",72,"2,403,592",30.05,30.90,30.00,30.50,<p style= color:red>+</p>,0.50,30.50,2,30.70,4,0.00
2748,雲品,"3,393,050","2,218","219,395,551",63.30,65.90,62.80,64.40,<p style= color:red>+</p>,1.30,64.30,40,64.40,21,38.33
2753,八方雲集,"665,097",812,"146,350,792",216.50,223.00,216.50,219.50,<p style= color:red>+</p>,3.50,219.00,2,219.50,5,22.63
2801,彰銀,"5,415,124","1,638","95,025,251",17.60,17.65,17.45,17.60,<p> </p>,0.00,17.55,644,17.60,170,17.60
2809,京城銀,"956,694",755,"33,386,780",34.80,35.05,34.75,34.95,<p style= color:red>+</p>,0.30,34.90,7,34.95,12,47.88
2812,台中銀,"5,251,916","2,811","68,969,355",13.10,13.20,13.10,13.10,<p> </p>,0.00,13.10,"1,713",13.15,915,12.02
2816,旺旺保,"28,902",25,"466,228",16.10,16.15,16.10,16.15,<p style= color:green>-</p>,0.05,16.15,10,16.20,10,0.00
2820,華票,"369,489",243,"5,597,817",15.10,15.20,15.10,15.15,<p style= color:red>+</p>,0.05,15.15,1,15.20,84,15.15
2832,台產,"94,667",95,"1,956,033",20.65,20.75,20.60,20.70,<p style= color:red>+</p>,0.05,20.65,12,20.75,9,6.79
2834,臺企銀,"13,901,011","3,776","185,430,781",13.40,13.45,13.25,13.35,<p> </p>,0.00,13.30,"1,274",13.35,193,12.96
2836,高雄銀,"345,379",219,"4,425,653",12.80,12.85,12.75,12.85,<p> </p>,0.00,12.80,15,12.85,32,15.86
2836A,高雄銀甲特,"1,000",1,"22,600",22.60,22.60,22.60,22.60,<p>X</p>,0.00,22.45,5,22.65,3,0.00
2838,聯邦銀,"1,181,382",616,"19,116,174",16.10,16.25,16.05,16.25,<p style= color:red>+</p>,0.10,16.20,4,16.25,30,18.90
2838A,聯邦銀甲特,"23,000",9,"1,191,700",51.90,51.90,51.80,51.80,<p style= color:green>-</p>,0.10,51.70,7,51.80,11,0.00
2845,遠東銀,"4,603,797","1,295","54,047,939",11.70,11.80,11.65,11.70,<p> </p>,0.00,11.70,58,11.75,167,14.27
2849,安泰銀,"48,411",47,"718,160",14.80,14.95,14.75,14.75,<p style= color:green>-</p>,0.10,14.75,6,14.85,1,13.92
2850,新產,"178,423",163,"8,940,864",50.30,50.50,49.95,50.20,<p style= color:green>-</p>,0.10,50.10,1,50.30,3,7.82
2851,中再保,"3,470,236","1,054","63,101,125",18.10,18.30,18.00,18.25,<p style= color:red>+</p>,0.15,18.20,30,18.25,42,21.99
2852,第一保,"325,499",228,"5,313,118",16.20,16.45,16.20,16.40,<p style= color:red>+</p>,0.20,16.35,3,16.40,2,8.00
2855,統一證,"705,266",495,"11,566,587",16.45,16.55,16.30,16.30,<p style= color:green>-</p>,0.15,16.30,134,16.40,2,20.63
2867,三商壽,"10,767,570","2,256","59,693,562",5.54,5.57,5.52,5.54,<p style= color:red>+</p>,0.01,5.54,124,5.55,5,0.00
2880,華南金,"7,450,268","2,917","170,350,512",22.95,22.95,22.75,22.90,<p style= color:red>+</p>,0.15,22.85,104,22.90,450,18.47
2881,富邦金,"18,806,991","11,510","1,126,102,580",60.00,60.40,59.50,60.00,<p style= color:green>-</p>,0.20,59.90,130,60.00,265,8.56
2881A,富邦特,"8,349",16,"511,237",61.30,61.30,61.10,61.10,<p> </p>,0.00,61.10,19,61.20,2,0.00
2881B,富邦金乙特,"315,140",51,"18,651,687",59.30,59.50,59.10,59.50,<p style= color:red>+</p>,0.30,59.20,38,59.70,3,0.00
2881C,富邦金丙特,"9,055",35,"516,044",57.00,57.10,57.00,57.00,<p style= color:red>+</p>,0.10,57.00,5,57.10,2,0.00
2882,國泰金,"27,750,161","10,308","1,189,753,219",42.80,43.00,42.65,43.00,<p style= color:red>+</p>,0.45,42.95,238,43.00,79,8.79
2882A,國泰特,"482,811",176,"27,571,039",57.20,57.20,57.10,57.10,<p style= color:green>-</p>,0.10,57.00,95,57.10,13,0.00
2882B,國泰金乙特,"107,675",35,"6,187,685",57.40,57.50,57.40,57.50,<p style= color:green>-</p>,0.10,57.30,2,57.40,1,0.00
2883,開發金,"37,528,939","11,224","491,630,837",13.20,13.20,13.00,13.15,<p style= color:green>-</p>,0.05,13.10,707,13.15,"2,279",9.81
2883B,開發金乙特,"1,199,306",405,"9,673,395",8.07,8.08,8.06,8.06,<p style= color:green>-</p>,0.02,8.06,117,8.07,93,0.00
2884,玉山金,"22,026,245","7,078","542,606,076",24.60,24.70,24.55,24.65,<p style= color:red>+</p>,0.15,24.60,"1,221",24.65,73,21.62
2885,元大金,"14,158,674","4,424","320,906,163",22.60,22.75,22.50,22.75,<p style= color:red>+</p>,0.25,22.70,5,22.75,"1,143",10.89
2886,兆豐金,"16,315,008","6,449","526,429,749",32.15,32.60,31.90,32.60,<p style= color:red>+</p>,0.65,32.35,3,32.60,553,23.12
2887,台新金,"14,956,696","5,541","242,406,692",16.25,16.30,16.10,16.25,<p> </p>,0.00,16.20,459,16.25,"1,498",19.58
2887E,台新戊特,"225,058",52,"11,595,509",51.40,51.60,51.40,51.40,<p style= color:green>-</p>,0.20,51.40,29,51.50,5,0.00
2887F,台新戊特二,"1,145",6,"55,318",--,--,--,--,<p> </p>,0.00,48.20,13,48.35,1,0.00
2887Z1,台新己特,"3,394",9,"56,871",16.75,16.80,16.75,16.80,<p style= color:green>-</p>,0.15,16.80,15,17.00,10,0.00
2888,新光金,"28,928,940","4,268","259,795,006",8.98,9.01,8.95,8.99,<p> </p>,0.00,8.98,4,8.99,21,12.49
2888A,新光金甲特,"18,453",20,"661,015",35.85,35.85,35.80,35.80,<p> </p>,0.00,35.75,1,35.80,1,0.00
2888B,新光金乙特,"60,172",41,"2,156,198",35.85,35.85,35.80,35.85,<p> </p>,0.00,35.80,32,35.90,22,0.00
2889,國票金,"7,046,753","2,334","88,916,311",12.60,12.75,12.50,12.65,<p style= color:red>+</p>,0.05,12.65,60,12.70,87,19.77
2890,永豐金,"24,565,356","7,777","423,688,378",17.35,17.40,17.15,17.30,<p> </p>,0.00,17.25,591,17.30,276,12.01
2891,中信金,"33,573,006","12,760","762,457,335",22.95,23.05,22.60,22.75,<p style= color:green>-</p>,0.10,22.70,538,22.75,834,11.38
2891B,中信金乙特,"8,018",11,"474,163",59.00,59.50,59.00,59.50,<p style= color:red>+</p>,0.50,59.10,1,59.50,1,0.00
2891C,中信金丙特,13,1,768,--,--,--,--,<p> </p>,0.00,59.90,1,60.00,8,0.00
2892,第一金,"22,462,403","7,527","588,238,525",26.20,26.30,26.00,26.30,<p style= color:red>+</p>,0.20,26.25,2,26.30,"1,088",17.65
2897,王道銀行,"3,975,581","1,492","36,955,271",9.26,9.33,9.25,9.29,<p style= color:red>+</p>,0.04,9.29,32,9.30,349,13.46
2897A,王道銀甲特,"185,000",30,"1,871,200",10.10,10.15,10.10,10.10,<p>X</p>,0.00,10.10,13,10.15,81,0.00
2901,欣欣,"17,033",135,"405,842",23.75,23.85,23.70,23.85,<p> </p>,0.00,23.75,1,23.80,1,88.33
2903,遠百,"1,045,625",554,"22,644,773",21.70,21.70,21.60,21.65,<p style= color:green>-</p>,0.05,21.65,68,21.70,83,18.83
2904,匯僑,"38,030",48,"766,089",20.10,20.25,20.10,20.20,<p style= color:red>+</p>,0.10,20.20,1,20.25,3,16.16
2905,三商,"288,469",229,"4,481,899",15.35,15.65,15.35,15.60,<p style= color:red>+</p>,0.25,15.55,13,15.60,6,0.00
2906,高林,"3,802,272","2,074","70,811,368",17.85,19.05,17.70,18.90,<p style= color:red>+</p>,1.25,18.90,15,18.95,32,25.54
2908,特力,"141,316",81,"2,826,019",19.95,20.10,19.90,19.95,<p style= color:red>+</p>,0.10,19.95,2,20.00,4,15.83
2910,統領,"11,000",11,"328,750",30.00,30.10,29.75,29.75,<p style= color:green>-</p>,0.30,29.75,1,30.00,1,45.08
2911,麗嬰房,"506,981",446,"3,629,435",7.29,7.30,7.05,7.26,<p style= color:green>-</p>,0.08,7.25,1,7.26,2,0.00
2912,統一超,"1,067,325","1,122","288,951,213",271.50,272.00,269.50,271.00,<p style= color:red>+</p>,1.00,270.50,9,271.00,6,29.23
2913,農林,"569,179",474,"12,169,801",21.50,21.50,21.30,21.45,<p style= color:green>-</p>,0.05,21.40,12,21.45,3,0.00
2915,潤泰全,"2,585,837","2,154","173,896,883",67.10,67.80,66.70,67.40,<p style= color:red>+</p>,0.50,67.30,1,67.40,87,3.78
2923,鼎固-KY,"8,511",20,"185,062",21.70,21.70,21.70,21.70,<p style= color:green>-</p>,0.20,21.70,2,22.45,2,58.65
2929,淘帝-KY,"26,906,979","11,724","543,818,661",21.40,22.45,18.75,18.75,<p style= color:green>-</p>,2.05,--,0,18.75,"1,240",28.85
2939,凱羿-KY,"59,252",203,"2,089,921",35.75,35.75,35.00,35.30,<p style= color:green>-</p>,0.45,35.25,2,35.30,119,75.11
2945,三商家購,"12,051",22,"516,793",43.20,43.20,42.75,42.80,<p> </p>,0.00,42.80,1,43.90,1,38.21
3002,歐格,"102,410",65,"1,162,977",11.50,11.50,11.30,11.30,<p style= color:green>-</p>,0.10,11.30,10,11.40,3,0.00
3003,健和興,"469,039",441,"33,699,444",71.60,72.30,71.30,72.10,<p style= color:red>+</p>,0.90,72.10,11,72.20,1,11.09
3004,豐達科,"280,026",458,"22,178,200",78.60,80.20,78.50,78.50,<p style= color:green>-</p>,0.40,78.50,13,78.80,2,47.87
3005,神基,"1,097,919",730,"50,495,728",45.50,46.15,45.50,45.95,<p style= color:red>+</p>,0.45,45.95,28,46.05,1,12.42
3006,晶豪科,"8,384,478","5,617","656,311,057",79.00,79.20,77.00,79.00,<p style= color:red>+</p>,1.20,78.90,1,79.00,59,6.92
3008,大立光,"876,570","3,442","1,921,809,535","2,135.00","2,225.00","2,135.00","2,215.00",<p style= color:red>+</p>,90.00,"2,210.00",9,"2,215.00",4,12.46
3010,華立,"280,571",277,"24,175,164",85.60,86.50,85.60,86.40,<p style= color:red>+</p>,1.10,86.40,5,86.50,10,6.97
3011,今皓,"460,265",180,"8,025,953",17.50,17.60,17.30,17.55,<p style= color:red>+</p>,0.05,17.40,2,17.55,13,18.47
3013,晟銘電,"5,152,310","2,195","101,105,345",19.60,19.90,19.35,19.65,<p style= color:red>+</p>,0.10,19.65,4,19.70,37,27.68
3014,聯陽,"1,651,067","1,678","133,433,090",79.40,82.00,78.80,81.30,<p style= color:red>+</p>,2.30,81.10,5,81.30,4,9.22
3015,全漢,"116,628",99,"4,544,865",38.75,39.05,38.75,39.05,<p style= color:red>+</p>,0.30,39.00,2,39.05,3,9.17
3016,嘉晶,"877,322",915,"67,321,622",76.90,77.10,76.10,77.00,<p style= color:red>+</p>,1.10,76.90,14,77.00,9,31.30
3017,奇鋐,"10,937,107","8,510","1,155,015,150",106.50,108.00,103.00,107.50,<p style= color:red>+</p>,1.50,107.00,353,107.50,51,10.02
3019,亞光,"2,485,170","1,711","162,447,614",63.50,66.40,63.30,66.00,<p style= color:red>+</p>,2.30,66.00,41,66.10,41,14.73
3021,鴻名,"99,276",57,"2,019,300",20.20,20.40,20.20,20.30,<p style= color:red>+</p>,0.10,20.30,2,20.40,1,12.23
3022,威強電,"1,091,649",844,"81,247,936",74.50,75.30,73.80,74.20,<p style= color:red>+</p>,0.20,74.20,1,74.30,7,9.62
3023,信邦,"462,211",668,"133,221,138",291.00,291.50,286.00,286.50,<p style= color:green>-</p>,1.00,286.50,7,287.50,1,24.72
3024,憶聲,"268,024",148,"3,537,514",13.25,13.35,13.15,13.20,<p style= color:green>-</p>,0.05,13.15,33,13.20,18,47.14
3025,星通,"309,043",188,"6,266,271",20.35,20.40,20.15,20.25,<p style= color:green>-</p>,0.05,20.25,12,20.35,6,13.97
3026,禾伸堂,"636,988",660,"59,265,300",91.50,93.90,91.50,93.60,<p style= color:red>+</p>,2.30,93.60,8,93.70,17,10.93
3027,盛達,"14,319,594","8,946","576,550,724",40.95,41.60,39.25,39.85,<p style= color:green>-</p>,1.35,39.85,15,39.90,6,94.88
3028,增你強,"192,262",248,"5,802,932",30.10,30.25,30.10,30.20,<p style= color:red>+</p>,0.10,30.20,1,30.25,34,8.53
3029,零壹,"464,434",338,"19,584,929",41.85,42.45,41.85,42.45,<p style= color:red>+</p>,0.60,42.35,2,42.45,8,10.77
3030,德律,"512,590",377,"32,738,024",63.60,64.10,63.60,63.80,<p style= color:red>+</p>,0.20,63.80,5,64.00,7,8.13
3031,佰鴻,"132,353",99,"2,076,230",15.55,15.75,15.55,15.70,<p style= color:red>+</p>,0.10,15.70,1,15.80,17,14.81
3032,偉訓,"18,161",30,"550,291",30.25,30.40,30.25,30.35,<p style= color:red>+</p>,0.10,30.30,4,30.40,4,10.18
3033,威健,"1,336,691",851,"36,680,778",27.40,27.60,27.30,27.55,<p style= color:red>+</p>,0.25,27.55,16,27.60,75,6.20
3034,聯詠,"8,031,100","6,934","2,866,137,403",355.00,362.00,352.00,353.50,<p style= color:green>-</p>,1.50,353.50,12,354.00,55,6.17
3035,智原,"18,171,072","15,460","3,166,863,693",171.50,178.50,169.50,175.50,<p style= color:red>+</p>,6.00,175.00,220,175.50,50,18.11
3036,文曄,"1,156,539","1,251","75,622,615",65.50,65.90,65.10,65.40,<p> </p>,0.00,65.40,9,65.50,29,7.76
3036A,文曄甲特,"27,794",25,"1,336,111",48.05,48.10,48.00,48.05,<p style= color:green>-</p>,0.10,48.10,7,48.20,13,0.00
3037,欣興,"35,751,997","20,883","5,032,400,874",139.00,142.50,138.00,141.50,<p style= color:red>+</p>,5.00,141.00,191,141.50,739,7.67
3038,全台,"567,467",314,"11,778,193",20.85,20.85,20.70,20.80,<p style= color:red>+</p>,0.10,20.75,18,20.80,10,7.70
3040,遠見,"11,500",15,"340,600",29.60,29.70,29.60,29.70,<p style= color:red>+</p>,0.25,29.75,1,29.80,2,18.22
3041,揚智,"533,736",424,"11,437,681",21.60,21.60,21.25,21.55,<p style= color:red>+</p>,0.05,21.50,21,21.55,36,79.81
3042,晶技,"2,688,841","2,225","237,363,044",87.90,89.30,86.70,88.70,<p style= color:red>+</p>,1.60,88.70,14,88.80,47,9.01
3043,科風,"55,406",162,"1,470,250",26.80,26.80,26.30,26.55,<p style= color:red>+</p>,0.65,26.20,4,26.55,5,48.27
3044,健鼎,"1,194,035",941,"119,989,405",99.60,101.00,99.50,101.00,<p style= color:red>+</p>,2.00,100.50,58,101.00,39,8.76
3045,台灣大,"2,314,264","1,514","219,581,209",94.90,95.20,94.50,95.10,<p style= color:red>+</p>,0.50,95.00,4,95.10,55,24.32
3046,建碁,"1,132,496",752,"53,751,392",47.50,48.45,46.80,46.95,<p style= color:green>-</p>,0.25,46.90,14,47.00,12,18.86
3047,訊舟,"2,225,778","1,015","35,604,985",16.05,16.15,15.80,16.00,<p style= color:red>+</p>,0.10,16.00,11,16.05,13,13.91
3048,益登,"469,440",325,"12,956,709",27.65,27.70,27.45,27.60,<p style= color:red>+</p>,0.20,27.60,36,27.70,37,6.83
3049,和鑫,"1,587,349",729,"14,876,082",9.40,9.43,9.32,9.40,<p style= color:red>+</p>,0.04,9.40,38,9.41,27,25.41
3050,鈺德,"520,282",255,"9,118,719",17.35,17.80,17.35,17.45,<p style= color:red>+</p>,0.20,17.45,13,17.50,15,37.93
3051,力特,"650,550",325,"11,796,209",18.05,18.25,17.95,18.15,<p style= color:red>+</p>,0.30,18.10,10,18.15,17,6.55
3052,夆典,"91,396",48,"947,189",10.40,10.40,10.35,10.35,<p style= color:green>-</p>,0.05,10.35,45,10.40,2,11.63
3054,立萬利,"3,030",5,"58,072",19.20,19.20,19.10,19.10,<p> </p>,0.00,18.75,2,19.10,1,0.00
3055,蔚華科,"1,055,105",728,"27,631,730",24.75,26.65,24.75,26.20,<p style= color:red>+</p>,1.65,26.20,2,26.30,1,0.00
3056,總太,"638,930",320,"20,241,763",31.75,31.75,31.40,31.75,<p style= color:red>+</p>,0.25,31.70,5,31.75,13,5.65
3057,喬鼎,"873,264",526,"9,584,024",10.35,11.15,10.30,11.15,<p style= color:red>+</p>,1.00,11.15,283,--,0,32.79
3058,立德,"178,713",134,"1,769,754",9.85,9.93,9.85,9.91,<p style= color:red>+</p>,0.06,9.90,11,9.93,6,0.00
3059,華晶科,"1,636,620","1,048","55,456,604",33.75,34.10,33.60,34.10,<p style= color:red>+</p>,0.55,34.05,3,34.10,9,24.89
3060,銘異,"304,333",399,"5,114,499",16.70,17.00,16.60,17.00,<p style= color:red>+</p>,0.30,16.90,8,17.00,17,13.18
3062,建漢,"3,164,460","1,634","76,185,416",24.45,24.50,23.85,24.10,<p style= color:green>-</p>,0.15,24.10,9,24.15,39,0.00
3090,日電貿,"630,056",530,"34,370,866",54.30,54.90,54.00,54.80,<p style= color:red>+</p>,0.80,54.70,5,54.80,15,6.66
3092,鴻碩,"705,546",425,"25,631,417",35.90,36.80,35.75,36.55,<p style= color:red>+</p>,1.20,36.55,2,36.60,2,24.21
3094,聯傑,"263,149",179,"6,736,282",25.50,25.75,25.45,25.65,<p style= color:red>+</p>,0.20,25.60,8,25.65,2,28.19
3130,一零四,"9,962",97,"1,995,033",200.00,200.50,199.00,200.50,<p style= color:red>+</p>,0.50,200.50,1,201.00,3,14.17
3138,耀登,"329,805",383,"46,843,284",142.00,144.50,139.50,142.50,<p style= color:red>+</p>,1.50,142.50,5,143.00,7,27.46
3149,正達,"494,093",322,"9,346,882",18.95,19.10,18.75,18.90,<p style= color:green>-</p>,0.10,18.85,34,19.00,18,0.00
3164,景岳,"45,570",73,"1,084,806",24.00,24.00,23.70,23.80,<p style= color:green>-</p>,0.15,23.80,2,23.85,1,23.56
3167,大量,"47,181",40,"2,021,017",42.60,43.35,42.60,43.35,<p style= color:red>+</p>,0.85,43.35,2,43.40,1,8.60
3189,景碩,"12,897,513","8,924","1,501,360,330",114.00,117.50,113.50,117.00,<p style= color:red>+</p>,4.50,117.00,242,117.50,246,7.41
3209,全科,"1,625,837","1,049","63,234,553",38.50,39.10,38.45,39.00,<p style= color:red>+</p>,0.60,38.95,3,39.00,6,7.56
3229,晟鈦,"32,107",38,"634,800",20.50,20.50,19.60,19.95,<p style= color:red>+</p>,0.05,19.80,2,19.95,1,0.00
3231,緯創,"8,650,489","5,586","271,356,941",31.50,31.55,31.25,31.40,<p style= color:green>-</p>,0.10,31.35,102,31.40,191,7.17
3257,虹冠電,"75,339",84,"3,175,418",41.80,42.35,41.80,42.15,<p style= color:red>+</p>,0.35,42.10,3,42.15,1,16.79
3266,昇陽,"63,001",25,"751,762",11.95,11.95,11.90,11.95,<p style= color:red>+</p>,0.05,11.90,15,11.95,1,33.19
3296,勝德,"812,044",371,"13,986,528",17.25,17.50,17.15,17.30,<p style= color:red>+</p>,0.05,17.25,6,17.30,112,0.00
3305,昇貿,"9,985,544","6,453","487,474,695",48.00,49.90,47.30,49.45,<p style= color:red>+</p>,3.05,49.40,5,49.45,33,8.85
3308,聯德,"26,718",28,"376,579",14.10,14.15,13.95,14.15,<p style= color:red>+</p>,0.10,14.10,1,14.15,1,0.00
3311,閎暉,"91,266",126,"3,105,502",33.70,34.65,33.50,34.45,<p style= color:red>+</p>,0.85,34.45,1,34.60,1,22.23
3312,弘憶股,"701,035",494,"12,869,215",18.30,18.55,18.25,18.30,<p style= color:red>+</p>,0.45,18.30,30,18.35,9,7.04
3321,同泰,"64,219",78,"581,145",9.04,9.09,9.03,9.09,<p style= color:red>+</p>,0.05,9.05,1,9.10,12,0.00
3338,泰碩,"329,565",305,"11,115,298",33.15,34.20,33.15,33.95,<p style= color:red>+</p>,0.90,33.95,6,34.00,6,10.13
3346,麗清,"1,509,515","1,070","58,208,040",38.50,38.85,38.20,38.75,<p style= color:red>+</p>,0.25,38.70,17,38.75,7,0.00
3356,奇偶,"1,585,331","1,182","62,308,503",39.20,39.80,38.65,39.60,<p style= color:red>+</p>,0.75,39.60,15,39.65,19,26.05
3376,新日興,"664,952",549,"55,913,375",82.50,84.80,82.50,84.40,<p style= color:red>+</p>,2.00,84.40,10,84.50,10,8.78
3380,明泰,"1,725,885",897,"52,895,658",30.70,30.95,30.45,30.65,<p style= color:red>+</p>,0.10,30.65,23,30.70,28,21.14
3406,玉晶光,"2,339,540","2,517","867,322,230",368.00,375.00,365.00,374.00,<p style= color:red>+</p>,8.50,373.50,1,374.00,7,12.58
3413,京鼎,"712,477",825,"138,700,715",194.00,196.50,193.00,195.00,<p style= color:red>+</p>,2.50,195.00,1,195.50,4,8.34
3416,融程電,"31,561",36,"2,654,337",84.40,84.40,83.90,84.20,<p> </p>,0.00,84.10,2,84.20,6,14.67
3419,譁裕,"543,340",335,"9,660,261",17.85,17.90,17.60,17.85,<p style= color:red>+</p>,0.10,17.80,16,17.85,4,54.09
3432,台端,"208,070",129,"4,014,047",19.30,19.60,19.05,19.35,<p style= color:red>+</p>,0.15,19.30,1,19.35,3,7.77
3437,榮創,"127,406",215,"2,235,645",17.75,17.75,17.45,17.55,<p style= color:red>+</p>,0.05,17.55,1,17.60,20,0.00
3443,創意,"4,385,654","4,243","3,459,816,014",789.00,798.00,784.00,786.00,<p style= color:red>+</p>,4.00,786.00,27,787.00,17,36.59
3447,展達,"992,080",675,"48,310,742",48.95,49.60,48.00,49.30,<p style= color:green>-</p>,0.05,49.30,2,49.35,4,28.66
3450,聯鈞,"506,898",564,"20,353,142",40.00,40.50,39.80,40.30,<p style= color:red>+</p>,0.40,40.25,1,40.30,2,20.25
3454,晶睿,"8,158,497","6,997","1,754,690,408",214.50,221.50,209.00,215.50,<p style= color:red>+</p>,2.00,214.50,2,215.50,7,35.16
3481,群創,"35,621,162","9,389","433,076,174",12.35,12.35,12.05,12.15,<p style= color:green>-</p>,0.05,12.10,"1,420",12.15,"1,528",0.00
3494,誠研,"799,204",424,"8,476,582",10.45,10.80,10.35,10.55,<p style= color:red>+</p>,0.30,10.55,13,10.65,14,0.00
